Delta Air lines,"""did their jobs with passion""","   I had a heartbreaking day on my departure day. So when I was checking in at Delta, I was crying…( actually more like bawling). Well I wasn't at first, but when Ms Carol asked me how was my day, tears just fell and couldn’t stop it…felt heavy…so I really appreciate that question a lot, she gave me some small talk, which made me open up a bit and that’s when I started crying. She didn’t have to continue comforting me, but she did and I felt it in my heart. Ms Ammi saw me crying and offered me some juice and orange, and a Chocolate cupcake and also comforted me despite how busy they were. They are the best strangers I’ve encountered at that moment too, for the longest time, and that made me feel way lighter. So I think it’s not about the place, or the airline, it’s the people that works within - a truly unforgettable experience even though that was a month ago. I am talking about the Ground staff of Delta Airlines in Baltimore Airport! They did their jobs with passion and understanding, and I salute them all…",Negative
Delta Air lines,"""across the plane from each other""",  They switched my husband and I after we paid for seat upgrades and put us completely across the plane from each other in the very back. We aid to sit up front. Not a single customer service could help us. This is absolutely ridiculous. No offer of the refund was offered. 3 different people just shrugged and said oh well you are on the flight.,Negative
Delta Air lines,"""offered no compensation""",   They forced me to check a bag both ways due to size regiments of my carry on. Both trips they lost my checked bag. They offered no compensation for losing my bag during connecting flights. I was stranded in a foreign country with nothing. I submitted multiple claims for compensation and they were all immediately declined due to my ticket not being eligible for compensation. This was my first and last experience with Delta airlines.,Negative
Delta Air lines,"""Horrible experience with Delta"" ",  We gate checked our 3 month old baby’s 00car seat in SLC and had our other gate checked stroller laying right on top of it in the tunnel right before entering the plane. Both had the pink tag indicating a gate checked item. We get to Columbus on our direct flight only to find our stroller with no car seat. Somehow they found a way to send one of our gate checked items on the plane and the other on a plane to LAX. How you even do that is bewildering to me. Then we go to Delta’s customer service counter in Columbus only to be greeted with rudeness and zero apology from the workers. They treated us as if it was our fault the car seat wasn’t there. My wife and I even tried to be nice since we knew it wasn’t them who didn’t put the car seat on the wrong plane. Then they are supposed to offer a temporary replacement car seat until they can get the proper one to us because of situations very similar to ours. all they had were large car seats way too big for our 3 month baby. It would not have been legal to put her in one of those. When we explained that they basically just said “well that sucks”. I had to leave my daughter and wife at the airport and drive 40 minutes to a friend’s house to borrow their car seat and then 40 minutes back. It was well past midnight when I got back to my family. All the meanwhile we received no apology. Horrible experience with Delta. ,Negative
Delta Air lines,"""communication couldn't have been worse""","   The Feb 21st Delta flight from Detroit to Amsterdam has been delayed for over 3 hours due to a technical issue (allegedly, a faulty switch on the board). The communication on the steps taken to remediate has been proactive and constant, while the Delta app has been far behind in terms of updates during the whole time. However, the communication on the available options couldn't have been worse. One cabin crew said we could offboard and come back, another said the opposite. When redirected to a manager, I have been told that we would deplane all deplane shortly. Less than two minutes later, another cabin crew announced that we'd be done in 15 minutes. And so on and so forth for 3.5 hours now. One cabin crew in particular has been quite rude when asked for clarifications. He patronizingly retorted that maybe I shouldn't get off the plane if I'm concerned about being able to get back on. How would anyone not be concerned given the circumstances?! During all these hours, the only thing we've been offered was water. No food, no snacks, no any other beverages! And not for lack of asking.",Negative
Delta Air lines,"""I recommend Delta Air Lines""",   It was an easy online check in. Due to other company flight delays I was short on time to drop my bag in. When I arrived it was too late for me to print my bag tag. Ricky at LAX directed me to an operator who printed my tag and checked my bag in. Flight was also great. Service when needed but nice and quiet during the night to sleep. I recommend Delta Air Lines.,Negative
Delta Air lines,"""never travel Delta again""",   This is the second time we have flown Delta in 6 months. Both times we ended up getting home a day later. I usually look for the cheapest flight when I travel. I will continue to do that but I will never travel Delta again. I would rather pay more for any other airline. The last time they gave us a token amount that wasn’t worth the head ache. ,Negative
Delta Air lines,"""incredible lead flight attendant"" ","   First the good. An incredible lead flight attendant who completely won us all over with his charm, his smile, and his efficiency. He did not disappear after the meal service but consistently checked up on us offering snacks and drinks.The meal was a pre order and ok. The insult is the seating configuration. The meager legroom should be an embarrassment to Delta. It is literally impossible for the window seater to get to the aisle without the aisle sitter getting up.When the seat in front is reclined minimally there is not an inch to spare and the screen is hard to see. Directly behind without a divider of any sort is a small premium economy section who sit there enviously staring at the minimal upgrade that first class is. Truly shameful. As I said previously the flight attendant was the saving grace.",Negative
Delta Air lines,"""my baggage was lost""","  After being forced to gate check my carryon item, my baggage was lost on a flight to Mexico City Saturday 2/15. I was told the bags would be delivered Sunday 2/16 after the bag was scheduled to arrive at 11:20 AM. Delta's ""Check Bag Status"" page said that my ""bag is set up for delivery at 3:53 PM"", I have received no communication (no phone call or email even though I had to waste my time after my flight filling out that information for Delta). I am preparing for my second day in foreign country without my baggage. Don't fly Delta/Aeromexico to Mexico City.",Negative
Delta Air lines,"""told I could not board the flight""","   I arrived at the airport and my flight was delayed. My Delta app notified me I could switch flights for free, so I did switch so that I could catch my second flight from Seattle to Redmond (My first flight was Boston to Seattle). This second flight was delayed, and my app notified me I could switch flights for free, and so I switched to my original flight from Boston to Seattle with a later flight from Seattle to Redmond. When my flight was finally ready for boarding (4 hours after expected time), I tried to scan my physical boarding pass and was told I could not board the flight. I figured this was just because I switched flights in the app, so I showed them my boarding pass in the app. They said I did not have an eticket (despite my app showing my itinerary) and that I would not be allowed to board. I asked to speak to a manager, and she told me since I didn't have an eticket I would not be on the flight, nor could I transfer to another flight or receive a refund. I showed them my original boarding pass, my flight receipt, my app boarding pass, my app itinerary, and my baggage status (showing my bags were on that flight) in the app. They let me watch my flight take off without me. I was able to book a flight with United later in the day and that flight went smoothly. I still have yet to see if my checked baggage makes it to Redmond, the Delta app says it's on the plane but who knows. 0/10 They didn't let me on my flight that I paid $350 for and they might lose my baggage.",Negative
united Airlines,"""not received any compensation""","  I took my annual vacation to Cebu Philippines in November 2024. The attendants are not very professional nor friendly. The return flight was even worse.  The flight from Seoul (ICN) was the biggest issue. The flight boarded and took off but had to return to the airport for a technical issue. The flight attendant said the plane was out of balance. This was after 1 1/2 hours into the flight. Then we were put on the Skybridge while the problems, more than just the weight distribution were fixed. One point to consider was I had a 7 hour layover in Seoul. We finally took off again after a long wait. Upon arriving in San Francisco (SFO), the connecting flight had taken off an hour earlier. I was supposed to have a 3 hour layover in SFO. I had to wait another 13 hours for another flight. no meal voucher, no hotel room, no compensation. After finally arriving in Raleigh (RDU) my luggage was not present. So I had to file a claim for lost luggage. No compensation or any concern about it. The Luggage claims desk did not even know there was a flight arriving that morning. I had to make numerous phone calls, one representative actually laughed about it. I have not received any compensation from United for their lack of professionalism, and availability to conduct a flight operation within a reasonable schedule.",Negative
united Airlines,"""never fly United again"" ","   They downgraded me out of first class while simultaneously upgrading other passengers to my seat and separated me from my spouse and never provided explanation. The voucher they gave me was worth significantly less than the difference in fare. We also waited 90 minutes for our bags before clearing customs, which added even more stress to our international flight home. In addition, no one would even try to help us figure out why this happened. I will never fly United again.",Positive
united Airlines,“Such a fantastic flight”, Such a fantastic flight. Our flight attendant Jay was incredible! His demeanour was cheerful and friendly and I truly wish every attendant was like him. From the moment you got on the plane he had a positive energy and was respectful and helpful of all the guests. Love United and kudos for such a great team!,Positive
united Airlines,“had a good experience”," Even though it was a really full flight, I still had a good experience as a frequent flyer for United Airlines. Everything was the same on the way, and I don't have much to say. But what got my attention is that the food is the same thing I had last year when flying from Brussels to Chicago. The food tasted great but was familiar to me, and I hope I didn't feel deja vu.",Positive
united Airlines,“food did not standard for Economy Class”," My first experience on United's 777-300ER was spectacular. The ground crew was good and helped me board the flight according to standard procedures. The seating was pretty good; even though it was Economy Class, I was sitting in Economy Plus, the same seating as Economy Class but with more legroom. The cabin crew were all friendly people, even though we had moderate turbulence that made everyone anxious. However, my only issue is that the food did not meet today's standard for Economy Class. The entree portion was too small, and they didn't notify the mobile app for a last-minute change. I thought I would have a chicken entree because I had reviewed it via United's mobile app. But instead, when I was onboard, I had beef, which confused me. Therefore, I recommend that United improve its Economy Class meal service to provide nicer, better portioned, and more options for all customers.",Negative
united Airlines,"""Status match is a farce!""","  Booked a trip to Kauai for family for Christmas. Tried to use United Status Match, as a Million Mile Delta flyer. Got the run-around for 2 months (seriously). Finally got the documentation they required (Delta card with barcode), and was told the last step was to take a United flight. Took United flight, and followed up with them about status. They told me it took 5-7 days to review. Followed up multiple times and told it was in que, and would be ready in 24-48 hours. Followed up day of flight, told it wasn't approved. Took outbound flight and paid over $300 in baggage fees, and sat in back of plane. Called them multiple times from Hawaii. Was told they had a glitch in system, and it was not picking up my qualifying flight. Told it would take another 24-48 hours to approve. Boarded flight back home, still didn't get status, and paid another $300 plus in baggage fees. Status match is a farce! They don't know what they're doing and wasted my time and money. Fool me once, never again. These guys are awful!",Negative
united Airlines,"""a positive experience""","  I flew United from San Francisco to Melbourne and returned from Sydney in Polaris. Overall, it was a positive experience. The Polaris lounge at SFO is superb and a great start. The product on United is among the best. The seat is comfortable and the entertainment options plentiful. Both crews were pleasant and accommodating. The main downfall was the food. The menus were uninspired and the presentation was subpar for a business class service. The taste was ok but compared to the competition, they fell well below the mark. For instance, the breakfast had a bowl of cut up fruit that was less interesting that what I make at home. We were fed but with little originality or style. If they could improve this offering, they would truly rate with some of the best. Too bad.",Negative
united Airlines,"""food for purchase only""",   Very old aircraft. I guess partially retrofitted. Cabin service was great. What I didn’t like - mismanagement at the time of boarding with cabin luggages that delayed departure - boarding bridge customer service - food for purchase only on a 6 hours flight. Never knew United has become a budget airline? I wouldn’t recommend the airline based on Food is only available for purchase. And delayed departure due to their own mismanagement with cabin luggage of certain passengers,Negative
united Airlines,"""ill-equipped and misinformed""",   The flight itself was fine but the customer service has been borderline fraudulent. Hours before the flight I was told that I could upgrade my seat if I purchased some miles. I did so and then the agent said it would take 24 to 48 hours to process and so he actually couldn't process the upgrade. He told me to call when I landed and they'd issue a refund. I purchased the upgrade with cash instead. I called when I landed and the agent assured me it would take 7 to 10 business days to process the refund but to send an email to customer service with information he provided and to call back in 48 hours to ask them to expedite it. I emailed in the information and patiently waited the 7 to 10 business days. At 10 days I had not received the refund so I called the airline and was told they had no idea and had no record about the refund request. They said they'd refer it to their refund department and I'd receive a call the next day. I did not receive a call. I called back the next business day and explained the entire situation to customer service again since there was no record of the call. They told me that it was not refundable. I protested. They escalated the call and put me on hold. 36 minutes into the call another agent answered the call who had no idea what was happening and so I explained it all over again. She submitted the request and gave me a refund number. The full call was 56 minutes and I was told it'll be up to two weeks for a reply. The entire team is ill-equipped and misinformed.,Negative
united Airlines,"""the best airline experience"" ","   Drew, Joanna and Terry from Gate D1 for United Airlines treated us so well! They were so considerate and helpful with rebooking our flight that was delayed for our connecting flight. I am so thankful for them and this was the best airline experience I’ve ever had!!",Negative
american Airlines,"""delayed over 5 hours"" ",   I have flown five flights with American Airlines in the last 4 months. Each one has been delayed over 5 hours for mechanical problems. When you contact American Airlines they don't care they just blow you off. They don't care that they're delaying you missing appointments and connections.,Negative
american Airlines,“may as well be a greyhound station”,"   My flight was originally for 6:15 am, this flight was delayed. I was issued a new ticket that required me to be stranded in Phoenix Arizona for 11 hours. I was originally supposed to arrive at my destination (Minneapolis) at 2:14 pm. My 6 hour trip turned into an all day event. Also, I just got word that my flight to Phoenix is, once again, delayed. I spent a lot of money for this trip... this may as well be a greyhound station.",Negative
american Airlines,"""crew was pleasant and professional""","   My recent flight from Washington, D.C. (DCA) to Philadelphia (PHL) with American Eagle, operated by PSA Airlines, was smooth and efficient. We experienced a minor maintenance delay, but on a 27-minute flight, it hardly made a difference. The crew was pleasant and professional, ensuring a comfortable experience. The aircraft, a CRJ-900, is the largest in PSA’s fleet, offering a bit more space compared to their other planes. Given the short duration of the flight, there’s really nothing to complain about it was a quick, easy, and well-handled trip. Great job PSA!",Positive
american Airlines,"""We were extremely pleased""","   My Husband and I traveled on American Airlines Flight AA3089 to New York from Florida. We were extremely pleased traveling home on this plane. This was mainly due to Flight Attendant DeJon. DeJon made sure we were comfortable, asked us what drinks we wanted, and served us snacks and a very nice lunch. Mostly, he was so congenial and I could see he was working so hard taking care of the passengers. My Husband and I are seniors and I can honestly say that we very much appreciated DeJon. It made our flight enjoyable, and we were glad we flew with American Airlines.",Positive
