AIRPORT_CODE,AIRPORT_NAME,coordinates
ATL,Hartsfield Jackson Atlanta International Airport,"(33.64, -84.43)"
DTW,Detroit Metropolitan Wayne County Airport,"(42.21, -83.35)"
DSM,Des Moines International Airport,"(41.53, -93.66)"
LGA,LaGuardia Airport,"(40.78, -73.87)"
CHS,Charleston International Airport,"(32.9, -80.04)"
AVL,Asheville Regional Airport,"(35.44, -82.54)"
SYR,Syracuse Hancock International Airport,"(43.11, -76.11)"
MCI,Kansas City International Airport,"(39.3, -94.71)"
LEX,Blue Grass Airport,"(38.04, -84.61)"
ROC,Frederick Douglass Greater Rochester International Airport,"(43.12, -77.67)"
BOS,Logan International Airport,"(42.36, -71.01)"
CVG,Cincinnati Northern Kentucky International Airport,"(39.05, -84.67)"
ITH,Ithaca Tompkins Regional Airport,"(42.49, -76.46)"
JFK,John F Kennedy International Airport,"(40.64, -73.78)"
RDU,Raleigh Durham International Airport,"(35.88, -78.79)"
PWM,Portland International Jetport,"(43.65, -70.31)"
OMA,Eppley Airfield,"(41.3, -95.89)"
MYR,Myrtle Beach International Airport,"(33.68, -78.93)"
CLE,Cleveland Hopkins International Airport,"(41.41, -81.85)"
TUL,Tulsa International Airport,"(36.2, -95.89)"
RIC,Richmond International Airport,"(37.51, -77.32)"
MEM,Memphis International Airport,"(35.04, -89.98)"
MIA,Miami International Airport,"(25.79, -80.29)"
FLL,Fort Lauderdale Hollywood International Airport,"(26.07, -80.15)"
GRR,Gerald R. Ford International Airport,"(42.88, -85.52)"
AZO,Kalamazoo Battle Creek International Airport,"(42.23, -85.55)"
TLH,Tallahassee Regional Airport,"(30.4, -84.35)"
GTR,Golden Triangle Regional Airport,"(33.45, -88.59)"
CRW,Yeager Airport,"(38.37, -81.59)"
MSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,"(44.88, -93.22)"
STL,St. Louis Lambert International Airport,"(38.75, -90.37)"
MSN,Dane County Regional Truax Field,"(43.14, -89.34)"
IAD,Washington Dulles International Airport,"(38.94, -77.46)"
MDT,Harrisburg International Airport,"(40.19, -76.76)"
ATW,Appleton International Airport,"(44.26, -88.52)"
BDL,Bradley International Airport,"(41.94, -72.69)"
HSV,Huntsville International Carl T Jones Field,"(34.64, -86.78)"
XNA,Northwest Arkansas National Airport,"(36.28, -94.31)"
CLT,Charlotte Douglas International Airport,"(35.21, -80.94)"
MLU,Monroe Regional Airport,"(32.51, -92.04)"
MLI,Quad City International Airport,"(41.45, -90.51)"
OAJ,Albert J Ellis Airport,"(34.83, -77.61)"
ABE,Lehigh Valley International Airport,"(40.65, -75.44)"
AGS,Augusta Regional At Bush Field,"(33.37, -81.96)"
PHL,Philadelphia International Airport,"(39.87, -75.24)"
BHM,Birmingham-Shuttlesworth International Airport,"(33.56, -86.75)"
PVD,Theodore Francis Green State Airport,"(41.73, -71.43)"
GFK,Grand Forks International Airport,"(47.95, -97.18)"
PNS,Pensacola International Airport,"(30.47, -87.19)"
IND,Indianapolis International Airport,"(39.72, -86.29)"
ILM,Wilmington International Airport,"(34.27, -77.9)"
FAY,Fayetteville Regional Airport - Grannis Field,"(34.99, -78.88)"
BGR,Bangor International Airport,"(44.81, -68.83)"
BUF,Buffalo Niagara International Airport,"(42.94, -78.73)"
LAN,Capital City Airport,"(42.78, -84.59)"
TYS,McGhee Tyson Airport,"(35.81, -83.99)"
HPN,Westchester County Airport,"(41.07, -73.71)"
SAV,Savannah Hilton Head International Airport,"(32.13, -81.2)"
CAE,Columbia Metropolitan Airport,"(33.94, -81.12)"
CID,The Eastern Iowa Airport,"(41.88, -91.71)"
SGF,Springfield Branson National Airport,"(37.25, -93.39)"
SDF,Louisville Muhammad Ali International Airport,"(38.17, -85.74)"
JAX,Jacksonville International Airport,"(30.49, -81.69)"
RSW,Southwest Florida International Airport,"(26.54, -81.76)"
CHO,Charlottesville Albemarle Airport,"(38.14, -78.45)"
GRB,Austin Straubel International Airport,"(44.48, -88.13)"
DHN,Dothan Regional Airport,"(31.32, -85.45)"
CHA,Chattanooga Metropolitan Airport (Lovell Field),"(35.04, -85.2)"
AEX,Alexandria International Airport,"(31.33, -92.55)"
BTR,Baton Rouge Metropolitan Airport,"(30.53, -91.15)"
VLD,Valdosta Regional Airport,"(30.78, -83.28)"
MOB,Mobile Regional Airport,"(30.69, -88.24)"
EYW,Key West International Airport,"(24.56, -81.76)"
MGM,Montgomery Regional (Dannelly Field) Airport,"(32.3, -86.39)"
BMI,Central Illinois Regional Airport at Bloomington-Normal,"(40.48, -88.92)"
