,Airport,Destinations
0,ATL,ROA
1,ATL,PIT
2,ATL,BNA
3,ATL,OAK
4,ATL,SNA
5,ATL,BTV
6,ATL,TVC
7,ATL,MSY
8,ATL,SHV
9,ATL,JAC
10,ATL,TRI
11,ATL,CAE
12,ATL,EVV
13,ATL,MOB
14,ATL,ORD
15,ATL,JAN
16,ATL,BUR
17,ATL,IAH
18,ATL,BMI
19,ATL,CLE
20,ATL,MYR
21,ATL,VPS
22,ATL,GTR
23,ATL,MIA
24,ATL,XNA
25,ATL,LGA
26,ATL,CRW
27,ATL,TUL
28,ATL,RIC
29,ATL,SYR
30,ATL,STX
31,ATL,DHN
32,ATL,PNS
33,ATL,GPT
34,ATL,AVL
35,ATL,DAL
36,ATL,SDF
37,ATL,MTJ
38,ATL,DCA
39,ATL,CHS
40,ATL,ROC
41,ATL,DAB
42,ATL,AUS
43,ATL,MDT
44,ATL,RNO
45,ATL,LIT
46,ATL,SAT
47,ATL,SBA
48,ATL,FLL
49,ATL,MDW
50,ATL,HOU
51,ATL,CHA
52,ATL,HNL
53,ATL,OKC
54,ATL,MCO
55,ATL,BHM
56,ATL,MCI
57,ATL,ICT
58,ATL,TYS
59,ATL,BOS
60,ATL,IAD
61,ATL,SRQ
62,ATL,OMA
63,ATL,ABY
64,ATL,PHL
65,ATL,RDU
66,ATL,FAT
67,ATL,LAS
68,ATL,RSW
69,ATL,CVG
70,ATL,FWA
71,ATL,SAV
72,ATL,EGE
73,ATL,BZN
74,ATL,GRR
75,ATL,DTW
76,ATL,ANC
77,ATL,MLU
78,ATL,DAY
79,ATL,PBI
80,ATL,LFT
81,ATL,ABE
82,ATL,ONT
83,ATL,COS
84,ATL,BTR
85,ATL,PHX
86,ATL,TLH
87,ATL,ISP
88,ATL,EYW
89,ATL,CMH
90,ATL,EWR
91,ATL,BOI
92,ATL,SAN
93,ATL,DEN
94,ATL,SFO
95,ATL,SLC
96,ATL,SGF
97,ATL,DFW
98,ATL,GRB
99,ATL,PWM
100,ATL,ILM
